,advertiser_id,product_id,date,click,impression,rate
903,M0LU6DCI1WILGQBZ6808,tegqan,2022-04-25,,1.0,0.0
902,M0LU6DCI1WILGQBZ6808,snkql0,2022-04-25,,1.0,0.0
901,M0LU6DCI1WILGQBZ6808,sh0fpb,2022-04-25,,1.0,0.0
900,M0LU6DCI1WILGQBZ6808,s2ha83,2022-04-25,,1.0,0.0
899,M0LU6DCI1WILGQBZ6808,rmlc1v,2022-04-25,,4.0,0.0
898,M0LU6DCI1WILGQBZ6808,rlysnt,2022-04-25,,1.0,0.0
897,M0LU6DCI1WILGQBZ6808,rh3vqa,2022-04-25,,1.0,0.0
895,M0LU6DCI1WILGQBZ6808,oueznu,2022-04-25,,1.0,0.0
894,M0LU6DCI1WILGQBZ6808,ocyu17,2022-04-25,,1.0,0.0
893,M0LU6DCI1WILGQBZ6808,oatjx0,2022-04-25,,1.0,0.0
892,M0LU6DCI1WILGQBZ6808,ms4xyi,2022-04-25,,3.0,0.0
891,M0LU6DCI1WILGQBZ6808,md0jnp,2022-04-25,,1.0,0.0
890,M0LU6DCI1WILGQBZ6808,lkbkan,2022-04-25,,4.0,0.0
889,M0LU6DCI1WILGQBZ6808,kugp6p,2022-04-25,,1.0,0.0
888,M0LU6DCI1WILGQBZ6808,jnc0wy,2022-04-25,,2.0,0.0
904,M0LU6DCI1WILGQBZ6808,u1cc0e,2022-04-25,,2.0,0.0
905,M0LU6DCI1WILGQBZ6808,vh2ao5,2022-04-25,,3.0,0.0
906,M0LU6DCI1WILGQBZ6808,voao9k,2022-04-25,,1.0,0.0
923,OAGTYWN8WFC997VLDJH7,38y7f3,2022-04-25,,1.0,0.0
922,OAGTYWN8WFC997VLDJH7,2xqiqa,2022-04-25,,1.0,0.0
921,OAGTYWN8WFC997VLDJH7,2pjd97,2022-04-25,,3.0,0.0
920,OAGTYWN8WFC997VLDJH7,2kgae9,2022-04-25,,1.0,0.0
919,OAGTYWN8WFC997VLDJH7,2e64an,2022-04-25,,2.0,0.0
918,OAGTYWN8WFC997VLDJH7,25b98h,2022-04-25,,2.0,0.0
917,OAGTYWN8WFC997VLDJH7,0ybb5m,2022-04-25,,2.0,0.0
774,LTRZRCI4M19WYVL6Q6L5,nzml33,2022-04-25,,2.0,0.0
775,LTRZRCI4M19WYVL6Q6L5,ogy7yk,2022-04-25,,1.0,0.0
772,LTRZRCI4M19WYVL6Q6L5,mh4v7w,2022-04-25,,2.0,0.0
667,K6Z0X85ZUY0TSF4RCG5J,zy2hpv,2022-04-25,,1.0,0.0
674,KD9PHCBGYFBRI9ET1O9R,40qfw4,2022-04-25,,1.0,0.0
673,KD9PHCBGYFBRI9ET1O9R,359paa,2022-04-25,,1.0,0.0
672,KD9PHCBGYFBRI9ET1O9R,2c1qe9,2022-04-25,,2.0,0.0
671,KD9PHCBGYFBRI9ET1O9R,27ndjd,2022-04-25,,1.0,0.0
670,KD9PHCBGYFBRI9ET1O9R,1vqx1c,2022-04-25,,1.0,0.0
669,KD9PHCBGYFBRI9ET1O9R,1l6xuk,2022-04-25,,2.0,0.0
668,KD9PHCBGYFBRI9ET1O9R,0n7w6c,2022-04-25,,2.0,0.0
666,K6Z0X85ZUY0TSF4RCG5J,ziowtr,2022-04-25,,2.0,0.0
925,OAGTYWN8WFC997VLDJH7,3upg35,2022-04-25,,1.0,0.0
665,K6Z0X85ZUY0TSF4RCG5J,z9mhxw,2022-04-25,,1.0,0.0
664,K6Z0X85ZUY0TSF4RCG5J,z4zet3,2022-04-25,,1.0,0.0
663,K6Z0X85ZUY0TSF4RCG5J,z195of,2022-04-25,,2.0,0.0
662,K6Z0X85ZUY0TSF4RCG5J,xpqesp,2022-04-25,,2.0,0.0
661,K6Z0X85ZUY0TSF4RCG5J,x5ta1v,2022-04-25,,2.0,0.0
660,K6Z0X85ZUY0TSF4RCG5J,wwzjna,2022-04-25,,1.0,0.0
659,K6Z0X85ZUY0TSF4RCG5J,vk9vkx,2022-04-25,,1.0,0.0
675,KD9PHCBGYFBRI9ET1O9R,41ljsb,2022-04-25,,1.0,0.0
676,KD9PHCBGYFBRI9ET1O9R,4i31iw,2022-04-25,,2.0,0.0
677,KD9PHCBGYFBRI9ET1O9R,58nqjt,2022-04-25,,1.0,0.0
678,KD9PHCBGYFBRI9ET1O9R,5f1f89,2022-04-25,,1.0,0.0
693,KD9PHCBGYFBRI9ET1O9R,fbf182,2022-04-25,,1.0,0.0
692,KD9PHCBGYFBRI9ET1O9R,e5caxh,2022-04-25,,3.0,0.0
691,KD9PHCBGYFBRI9ET1O9R,dm86ee,2022-04-25,,1.0,0.0
690,KD9PHCBGYFBRI9ET1O9R,dm4utw,2022-04-25,,2.0,0.0
689,KD9PHCBGYFBRI9ET1O9R,dak6b8,2022-04-25,,2.0,0.0
688,KD9PHCBGYFBRI9ET1O9R,d3ex6m,2022-04-25,,1.0,0.0
687,KD9PHCBGYFBRI9ET1O9R,col93f,2022-04-25,,2.0,0.0
686,KD9PHCBGYFBRI9ET1O9R,aosbxv,2022-04-25,,1.0,0.0
685,KD9PHCBGYFBRI9ET1O9R,847h5q,2022-04-25,,2.0,0.0
658,K6Z0X85ZUY0TSF4RCG5J,vdswcd,2022-04-25,,1.0,0.0
657,K6Z0X85ZUY0TSF4RCG5J,u4vs62,2022-04-25,,1.0,0.0
656,K6Z0X85ZUY0TSF4RCG5J,t6u94k,2022-04-25,,2.0,0.0
637,K6Z0X85ZUY0TSF4RCG5J,hg40s4,2022-04-25,,4.0,0.0
635,K6Z0X85ZUY0TSF4RCG5J,fn7edj,2022-04-25,,1.0,0.0
634,K6Z0X85ZUY0TSF4RCG5J,fm4ipk,2022-04-25,,2.0,0.0
633,K6Z0X85ZUY0TSF4RCG5J,fjw5h9,2022-04-25,,2.0,0.0
632,K6Z0X85ZUY0TSF4RCG5J,fccgmo,2022-04-25,,1.0,0.0
631,K6Z0X85ZUY0TSF4RCG5J,f8io3y,2022-04-25,,2.0,0.0
630,K6Z0X85ZUY0TSF4RCG5J,f276t0,2022-04-25,,1.0,0.0
629,K6Z0X85ZUY0TSF4RCG5J,dg4riw,2022-04-25,,2.0,0.0
924,OAGTYWN8WFC997VLDJH7,3qyput,2022-04-25,,1.0,0.0
0,2WPF1NXECF3G6NUMWDO7,01mgr3,2022-04-25,,1.0,0.0
926,OAGTYWN8WFC997VLDJH7,47707b,2022-04-25,,1.0,0.0
1131,SOVPFK3BBWKTQM9HOHWJ,87lp1s,2022-04-25,,1.0,0.0
1138,SOVPFK3BBWKTQM9HOHWJ,gv9o9j,2022-04-25,,1.0,0.0
1137,SOVPFK3BBWKTQM9HOHWJ,g3ivrt,2022-04-25,,4.0,0.0
1136,SOVPFK3BBWKTQM9HOHWJ,e5tejo,2022-04-25,,1.0,0.0
1135,SOVPFK3BBWKTQM9HOHWJ,bdsobl,2022-04-25,,1.0,0.0
1134,SOVPFK3BBWKTQM9HOHWJ,acbohu,2022-04-25,,1.0,0.0
1133,SOVPFK3BBWKTQM9HOHWJ,9rmu1i,2022-04-25,,1.0,0.0
1132,SOVPFK3BBWKTQM9HOHWJ,8dxuq2,2022-04-25,,2.0,0.0
1130,SOVPFK3BBWKTQM9HOHWJ,7wubsu,2022-04-25,,1.0,0.0
1159,SOVPFK3BBWKTQM9HOHWJ,qu6al6,2022-04-25,,2.0,0.0
1129,SOVPFK3BBWKTQM9HOHWJ,7qub1p,2022-04-25,,2.0,0.0
1128,SOVPFK3BBWKTQM9HOHWJ,73k7gz,2022-04-25,,3.0,0.0
1127,SOVPFK3BBWKTQM9HOHWJ,6peupa,2022-04-25,,1.0,0.0
1126,SOVPFK3BBWKTQM9HOHWJ,6fa8lw,2022-04-25,,3.0,0.0
1125,SOVPFK3BBWKTQM9HOHWJ,4f55gk,2022-04-25,,1.0,0.0
1124,SOVPFK3BBWKTQM9HOHWJ,4ej8w6,2022-04-25,,2.0,0.0
1123,SOVPFK3BBWKTQM9HOHWJ,3pulgl,2022-04-25,,1.0,0.0
1139,SOVPFK3BBWKTQM9HOHWJ,gvlbio,2022-04-25,,1.0,0.0
1140,SOVPFK3BBWKTQM9HOHWJ,h3qtxn,2022-04-25,,2.0,0.0
1101,P41C5HK4P2G5GFRMT6ZA,rgmzpg,2022-04-25,,1.0,0.0
1099,P41C5HK4P2G5GFRMT6ZA,psjekb,2022-04-25,,1.0,0.0
1098,P41C5HK4P2G5GFRMT6ZA,oytucv,2022-04-25,,2.0,0.0
1097,P41C5HK4P2G5GFRMT6ZA,oufl3s,2022-04-25,,1.0,0.0
1096,P41C5HK4P2G5GFRMT6ZA,nu3qjo,2022-04-25,,1.0,0.0
1095,P41C5HK4P2G5GFRMT6ZA,mtcwzo,2022-04-25,,2.0,0.0
1094,P41C5HK4P2G5GFRMT6ZA,mpf7s6,2022-04-25,,3.0,0.0
1093,P41C5HK4P2G5GFRMT6ZA,mbhkky,2022-04-25,,3.0,0.0
1092,P41C5HK4P2G5GFRMT6ZA,lgl3od,2022-04-25,,1.0,0.0
1091,P41C5HK4P2G5GFRMT6ZA,lamexq,2022-04-25,,1.0,0.0
1090,P41C5HK4P2G5GFRMT6ZA,jsu541,2022-04-25,,1.0,0.0
1089,P41C5HK4P2G5GFRMT6ZA,jsayb2,2022-04-25,,1.0,0.0
1087,P41C5HK4P2G5GFRMT6ZA,ispmql,2022-04-25,,1.0,0.0
1086,P41C5HK4P2G5GFRMT6ZA,i5ngad,2022-04-25,,1.0,0.0
1085,P41C5HK4P2G5GFRMT6ZA,hc9zc3,2022-04-25,,2.0,0.0
1084,P41C5HK4P2G5GFRMT6ZA,h0lp4d,2022-04-25,,2.0,0.0
1100,P41C5HK4P2G5GFRMT6ZA,q4nqfb,2022-04-25,,1.0,0.0
1102,P41C5HK4P2G5GFRMT6ZA,rh2pje,2022-04-25,,1.0,0.0
1103,P41C5HK4P2G5GFRMT6ZA,rh57jr,2022-04-25,,1.0,0.0
927,OAGTYWN8WFC997VLDJH7,4sp7kw,2022-04-25,,2.0,0.0
1211,Y0W3K7OV6ZLILW96OO3K,ixup0m,2022-04-25,,1.0,0.0
1218,Y0W3K7OV6ZLILW96OO3K,mqbb0z,2022-04-25,,2.0,0.0
1217,Y0W3K7OV6ZLILW96OO3K,mlzvlr,2022-04-25,,1.0,0.0
1216,Y0W3K7OV6ZLILW96OO3K,lb4jrs,2022-04-25,,1.0,0.0
1215,Y0W3K7OV6ZLILW96OO3K,khy8qm,2022-04-25,,1.0,0.0
1214,Y0W3K7OV6ZLILW96OO3K,jv7bcn,2022-04-25,,1.0,0.0
1213,Y0W3K7OV6ZLILW96OO3K,jeou7p,2022-04-25,,2.0,0.0
1212,Y0W3K7OV6ZLILW96OO3K,iyi8eb,2022-04-25,,2.0,0.0
1210,Y0W3K7OV6ZLILW96OO3K,isz0bn,2022-04-25,,4.0,0.0
1209,Y0W3K7OV6ZLILW96OO3K,ilk57v,2022-04-25,,2.0,0.0
1208,Y0W3K7OV6ZLILW96OO3K,if7i0q,2022-04-25,,2.0,0.0
1207,Y0W3K7OV6ZLILW96OO3K,huohta,2022-04-25,,2.0,0.0
1206,Y0W3K7OV6ZLILW96OO3K,httzlm,2022-04-25,,1.0,0.0
1205,Y0W3K7OV6ZLILW96OO3K,g6j4w0,2022-04-25,,1.0,0.0
1204,Y0W3K7OV6ZLILW96OO3K,fbmtcy,2022-04-25,,2.0,0.0
1203,Y0W3K7OV6ZLILW96OO3K,er1ri9,2022-04-25,,2.0,0.0
1219,Y0W3K7OV6ZLILW96OO3K,n3yy7c,2022-04-25,,1.0,0.0
1220,Y0W3K7OV6ZLILW96OO3K,o2gccl,2022-04-25,,1.0,0.0
1221,Y0W3K7OV6ZLILW96OO3K,oh4fwd,2022-04-25,,2.0,0.0
976,OAGTYWN8WFC997VLDJH7,x1l0jz,2022-04-25,,4.0,0.0
983,OAGTYWN8WFC997VLDJH7,zpaxow,2022-04-25,,1.0,0.0
982,OAGTYWN8WFC997VLDJH7,z5odon,2022-04-25,,1.0,0.0
981,OAGTYWN8WFC997VLDJH7,yfbgur,2022-04-25,,1.0,0.0
980,OAGTYWN8WFC997VLDJH7,xw4mv6,2022-04-25,,2.0,0.0
979,OAGTYWN8WFC997VLDJH7,xvt3v4,2022-04-25,,1.0,0.0
978,OAGTYWN8WFC997VLDJH7,xnyapp,2022-04-25,,1.0,0.0
977,OAGTYWN8WFC997VLDJH7,xibhsl,2022-04-25,,2.0,0.0
985,OY5LNPB5A8FF43ITRZG3,0mwlfl,2022-04-25,,1.0,0.0
986,OY5LNPB5A8FF43ITRZG3,1w06mn,2022-04-25,,1.0,0.0
987,OY5LNPB5A8FF43ITRZG3,25bn17,2022-04-25,,2.0,0.0
1002,OY5LNPB5A8FF43ITRZG3,c2u0e0,2022-04-25,,2.0,0.0
1001,OY5LNPB5A8FF43ITRZG3,bgpa00,2022-04-25,,2.0,0.0
1000,OY5LNPB5A8FF43ITRZG3,acdq9q,2022-04-25,,2.0,0.0
999,OY5LNPB5A8FF43ITRZG3,aa0mtm,2022-04-25,,2.0,0.0
998,OY5LNPB5A8FF43ITRZG3,95zymi,2022-04-25,,1.0,0.0
997,OY5LNPB5A8FF43ITRZG3,7zwd1i,2022-04-25,,2.0,0.0
996,OY5LNPB5A8FF43ITRZG3,6utf2c,2022-04-25,,1.0,0.0
995,OY5LNPB5A8FF43ITRZG3,5r8w98,2022-04-25,,1.0,0.0
994,OY5LNPB5A8FF43ITRZG3,5ohp5g,2022-04-25,,1.0,0.0
993,OY5LNPB5A8FF43ITRZG3,4pambt,2022-04-25,,3.0,0.0
992,OY5LNPB5A8FF43ITRZG3,40x4zm,2022-04-25,,1.0,0.0
991,OY5LNPB5A8FF43ITRZG3,3kuvgz,2022-04-25,,2.0,0.0
990,OY5LNPB5A8FF43ITRZG3,3hsjkp,2022-04-25,,3.0,0.0
989,OY5LNPB5A8FF43ITRZG3,34e7os,2022-04-25,,1.0,0.0
988,OY5LNPB5A8FF43ITRZG3,286om3,2022-04-25,,1.0,0.0
1003,OY5LNPB5A8FF43ITRZG3,d6etln,2022-04-25,,2.0,0.0
1004,OY5LNPB5A8FF43ITRZG3,dgoroo,2022-04-25,,1.0,0.0
1,2WPF1NXECF3G6NUMWDO7,18v6fo,2022-04-25,,1.0,0.0
204,6X20RDH567MX2X3TXYJ7,gatqww,2022-04-25,,1.0,0.0
211,6X20RDH567MX2X3TXYJ7,mjukt2,2022-04-25,,3.0,0.0
210,6X20RDH567MX2X3TXYJ7,ki5y52,2022-04-25,,1.0,0.0
209,6X20RDH567MX2X3TXYJ7,kefio1,2022-04-25,,1.0,0.0
208,6X20RDH567MX2X3TXYJ7,kcy4nn,2022-04-25,,1.0,0.0
207,6X20RDH567MX2X3TXYJ7,js0ydl,2022-04-25,,2.0,0.0
206,6X20RDH567MX2X3TXYJ7,j6rdgr,2022-04-25,,1.0,0.0
205,6X20RDH567MX2X3TXYJ7,hwm12w,2022-04-25,,1.0,0.0
203,6X20RDH567MX2X3TXYJ7,ften9l,2022-04-25,,1.0,0.0
233,6X20RDH567MX2X3TXYJ7,zlbdi9,2022-04-25,,3.0,0.0
202,6X20RDH567MX2X3TXYJ7,enetly,2022-04-25,,1.0,0.0
201,6X20RDH567MX2X3TXYJ7,ee9fva,2022-04-25,,1.0,0.0
200,6X20RDH567MX2X3TXYJ7,ed41q1,2022-04-25,,3.0,0.0
199,6X20RDH567MX2X3TXYJ7,d8wxmv,2022-04-25,,1.0,0.0
198,6X20RDH567MX2X3TXYJ7,d7rgfp,2022-04-25,,2.0,0.0
197,6X20RDH567MX2X3TXYJ7,ca7qql,2022-04-25,,2.0,0.0
196,6X20RDH567MX2X3TXYJ7,brpoc1,2022-04-25,,1.0,0.0
212,6X20RDH567MX2X3TXYJ7,n1ia3i,2022-04-25,,1.0,0.0
213,6X20RDH567MX2X3TXYJ7,nozjco,2022-04-25,,1.0,0.0
214,6X20RDH567MX2X3TXYJ7,o2b384,2022-04-25,,1.0,0.0
172,62FIK8F2YT8JSFDBLEC9,y83czh,2022-04-25,,1.0,0.0
170,62FIK8F2YT8JSFDBLEC9,xn7n1l,2022-04-25,,1.0,0.0
169,62FIK8F2YT8JSFDBLEC9,xlhqn2,2022-04-25,,2.0,0.0
168,62FIK8F2YT8JSFDBLEC9,xikvni,2022-04-25,,1.0,0.0
167,62FIK8F2YT8JSFDBLEC9,xi7mbu,2022-04-25,,1.0,0.0
166,62FIK8F2YT8JSFDBLEC9,x4x0yz,2022-04-25,,1.0,0.0
165,62FIK8F2YT8JSFDBLEC9,ws5vfl,2022-04-25,,3.0,0.0
164,62FIK8F2YT8JSFDBLEC9,w5hk47,2022-04-25,,2.0,0.0
163,62FIK8F2YT8JSFDBLEC9,v1d2kq,2022-04-25,,2.0,0.0
162,62FIK8F2YT8JSFDBLEC9,upwmzv,2022-04-25,,1.0,0.0
161,62FIK8F2YT8JSFDBLEC9,rfe8nl,2022-04-25,,2.0,0.0
160,62FIK8F2YT8JSFDBLEC9,r8mlv2,2022-04-25,,2.0,0.0
159,62FIK8F2YT8JSFDBLEC9,phrzte,2022-04-25,,5.0,0.0
158,62FIK8F2YT8JSFDBLEC9,pacgwu,2022-04-25,,1.0,0.0
157,62FIK8F2YT8JSFDBLEC9,p8a3xn,2022-04-25,,1.0,0.0
156,62FIK8F2YT8JSFDBLEC9,owih8y,2022-04-25,,3.0,0.0
171,62FIK8F2YT8JSFDBLEC9,y3bop0,2022-04-25,,1.0,0.0
174,62FIK8F2YT8JSFDBLEC9,yvuie6,2022-04-25,,1.0,0.0
175,62FIK8F2YT8JSFDBLEC9,z4kvly,2022-04-25,,1.0,0.0
282,8C88YB6E8YCGWU07HA7A,mvpc06,2022-04-25,,4.0,0.0
289,8C88YB6E8YCGWU07HA7A,sb6sgz,2022-04-25,,1.0,0.0
288,8C88YB6E8YCGWU07HA7A,ro1cyv,2022-04-25,,2.0,0.0
287,8C88YB6E8YCGWU07HA7A,rnjpos,2022-04-25,,1.0,0.0
286,8C88YB6E8YCGWU07HA7A,qd7vg6,2022-04-25,,2.0,0.0
285,8C88YB6E8YCGWU07HA7A,q9x59n,2022-04-25,,1.0,0.0
284,8C88YB6E8YCGWU07HA7A,onssnt,2022-04-25,,2.0,0.0
283,8C88YB6E8YCGWU07HA7A,oacg4b,2022-04-25,,1.0,0.0
281,8C88YB6E8YCGWU07HA7A,mqlyg3,2022-04-25,,3.0,0.0
235,8C88YB6E8YCGWU07HA7A,042cj0,2022-04-25,,1.0,0.0
280,8C88YB6E8YCGWU07HA7A,mh4kle,2022-04-25,,1.0,0.0
279,8C88YB6E8YCGWU07HA7A,mdxnl9,2022-04-25,,1.0,0.0
278,8C88YB6E8YCGWU07HA7A,m8x9b5,2022-04-25,,2.0,0.0
277,8C88YB6E8YCGWU07HA7A,m80sug,2022-04-25,,3.0,0.0
276,8C88YB6E8YCGWU07HA7A,m3k43j,2022-04-25,,1.0,0.0
275,8C88YB6E8YCGWU07HA7A,lfiesq,2022-04-25,,1.0,0.0
274,8C88YB6E8YCGWU07HA7A,jsug33,2022-04-25,,2.0,0.0
290,8C88YB6E8YCGWU07HA7A,spq8c2,2022-04-25,,1.0,0.0
291,8C88YB6E8YCGWU07HA7A,tp6qx9,2022-04-25,,2.0,0.0
292,8C88YB6E8YCGWU07HA7A,ud49j6,2022-04-25,,1.0,0.0
308,AK81O7W3KGPEN8LABG2N,2ek1oh,2022-04-25,,4.0,0.0
307,AK81O7W3KGPEN8LABG2N,29s3ve,2022-04-25,,2.0,0.0
306,AK81O7W3KGPEN8LABG2N,206qg3,2022-04-25,,2.0,0.0
305,AK81O7W3KGPEN8LABG2N,1q3y3v,2022-04-25,,3.0,0.0
304,AK81O7W3KGPEN8LABG2N,1j6llv,2022-04-25,,1.0,0.0
303,AK81O7W3KGPEN8LABG2N,0hk4un,2022-04-25,,2.0,0.0
302,AK81O7W3KGPEN8LABG2N,08kcto,2022-04-25,,2.0,0.0
301,AK81O7W3KGPEN8LABG2N,0375tj,2022-04-25,,1.0,0.0
48,2WPF1NXECF3G6NUMWDO7,o0l6v1,2022-04-25,,1.0,0.0
55,2WPF1NXECF3G6NUMWDO7,rpt2cj,2022-04-25,,1.0,0.0
54,2WPF1NXECF3G6NUMWDO7,r6ut7n,2022-04-25,,2.0,0.0
53,2WPF1NXECF3G6NUMWDO7,qr6buu,2022-04-25,,1.0,0.0
52,2WPF1NXECF3G6NUMWDO7,qdwtxu,2022-04-25,,1.0,0.0
51,2WPF1NXECF3G6NUMWDO7,pw1jax,2022-04-25,,2.0,0.0
50,2WPF1NXECF3G6NUMWDO7,p0dsnt,2022-04-25,,1.0,0.0
49,2WPF1NXECF3G6NUMWDO7,okk6di,2022-04-25,,3.0,0.0
47,2WPF1NXECF3G6NUMWDO7,nw5ji2,2022-04-25,,1.0,0.0
76,5E325T5HYL61QSABVR5V,av9ue3,2022-04-25,,1.0,0.0
46,2WPF1NXECF3G6NUMWDO7,nt02vv,2022-04-25,,3.0,0.0
45,2WPF1NXECF3G6NUMWDO7,np11o4,2022-04-25,,2.0,0.0
44,2WPF1NXECF3G6NUMWDO7,nljn8x,2022-04-25,,1.0,0.0
43,2WPF1NXECF3G6NUMWDO7,mgktm4,2022-04-25,,3.0,0.0
42,2WPF1NXECF3G6NUMWDO7,ma6irv,2022-04-25,,4.0,0.0
41,2WPF1NXECF3G6NUMWDO7,lyaj9j,2022-04-25,,2.0,0.0
40,2WPF1NXECF3G6NUMWDO7,lsm9l4,2022-04-25,,2.0,0.0
56,2WPF1NXECF3G6NUMWDO7,ugdfpk,2022-04-25,,2.0,0.0
57,2WPF1NXECF3G6NUMWDO7,urms05,2022-04-25,,1.0,0.0
74,5E325T5HYL61QSABVR5V,9lk0rl,2022-04-25,,1.0,0.0
73,5E325T5HYL61QSABVR5V,9hl7st,2022-04-25,,1.0,0.0
72,5E325T5HYL61QSABVR5V,90z55r,2022-04-25,,3.0,0.0
71,5E325T5HYL61QSABVR5V,8s5t1b,2022-04-25,,1.0,0.0
70,5E325T5HYL61QSABVR5V,7my5g6,2022-04-25,,1.0,0.0
69,5E325T5HYL61QSABVR5V,7ej5gu,2022-04-25,,2.0,0.0
68,5E325T5HYL61QSABVR5V,67vcf8,2022-04-25,,2.0,0.0
67,5E325T5HYL61QSABVR5V,61f3tt,2022-04-25,,3.0,0.0
66,5E325T5HYL61QSABVR5V,5zw3zm,2022-04-25,,2.0,0.0
65,5E325T5HYL61QSABVR5V,4bxb6f,2022-04-25,,2.0,0.0
64,5E325T5HYL61QSABVR5V,3qfrb4,2022-04-25,,1.0,0.0
63,5E325T5HYL61QSABVR5V,2zz3ft,2022-04-25,,2.0,0.0
62,5E325T5HYL61QSABVR5V,1fujc6,2022-04-25,,1.0,0.0
61,5E325T5HYL61QSABVR5V,1ej5a8,2022-04-25,,2.0,0.0
60,5E325T5HYL61QSABVR5V,1dt44d,2022-04-25,,1.0,0.0
75,5E325T5HYL61QSABVR5V,9qqc2n,2022-04-25,,2.0,0.0
77,5E325T5HYL61QSABVR5V,b5hii5,2022-04-25,,1.0,0.0
78,5E325T5HYL61QSABVR5V,b5uafp,2022-04-25,,2.0,0.0
95,5E325T5HYL61QSABVR5V,qpm6i8,2022-04-25,,3.0,0.0
309,AK81O7W3KGPEN8LABG2N,3bnqsp,2022-04-25,,3.0,0.0
310,AK81O7W3KGPEN8LABG2N,3chn8i,2022-04-25,,2.0,0.0
311,AK81O7W3KGPEN8LABG2N,3yd7re,2022-04-25,,2.0,0.0
513,IDOFCO721HTJGDH7332G,jcr5hr,2022-04-25,,2.0,0.0
520,IDOFCO721HTJGDH7332G,ky85kp,2022-04-25,,1.0,0.0
519,IDOFCO721HTJGDH7332G,knxl52,2022-04-25,,3.0,0.0
